url,status,redirect_location,canonical,decision
https://www.805shutters.com/,200,,https://www.805shutters.com/,keep
https://www.805shutters.com/shutters/,200,,https://www.805shutters.com/shutters/,keep
https://www.805shutters.com/shades/,200,,https://www.805shutters.com/shades/,keep
https://www.805shutters.com/blinds/,200,,https://www.805shutters.com/blinds/,keep
https://www.805shutters.com/drapery/,200,,https://www.805shutters.com/drapery/,keep
https://www.805shutters.com/exterior-shades/,200,,https://www.805shutters.com/exterior-shades/,keep
https://www.805shutters.com/window-treatments/,200,,https://www.805shutters.com/window-treatments/,keep
https://www.805shutters.com/window-coverings/,200,,https://www.805shutters.com/window-coverings/,keep
https://www.805shutters.com/commercial-window-coverings/,200,,https://www.805shutters.com/commercial-window-coverings/,keep
https://www.805shutters.com/commercial-roller-shades/,200,,https://www.805shutters.com/commercial-roller-shades/,keep
https://www.805shutters.com/about/,200,,https://www.805shutters.com/about/,keep
https://www.805shutters.com/contact/,200,,https://www.805shutters.com/contact/,keep
https://www.805shutters.com/free-window-treatment-consultation/,200,,https://www.805shutters.com/free-window-treatment-consultation/,keep
https://www.805shutters.com/financing/,200,,https://www.805shutters.com/financing/,keep
https://www.805shutters.com/faq/,200,,https://www.805shutters.com/faq/,keep
https://www.805shutters.com/gallery/,200,,https://www.805shutters.com/gallery/,keep
https://www.805shutters.com/reviews/,200,,https://www.805shutters.com/reviews/,keep
https://www.805shutters.com/recent-projects/,200,,https://www.805shutters.com/recent-projects/,keep
https://www.805shutters.com/shutters/camarillo/,200,,https://www.805shutters.com/shutters/camarillo/,keep
https://www.805shutters.com/shades/camarillo-ca/,200,,https://www.805shutters.com/shades/camarillo-ca/,keep
https://www.805shutters.com/blinds/camarillo-ca/,200,,https://www.805shutters.com/blinds/camarillo-ca/,keep
https://www.805shutters.com/drapery/camarillo-ca/,200,,https://www.805shutters.com/drapery/camarillo-ca/,keep
https://www.805shutters.com/window-coverings/camarillo-ca/,200,,https://www.805shutters.com/window-coverings/camarillo-ca/,keep
https://www.805shutters.com/window-treatments/camarillo-ca/,200,,https://www.805shutters.com/window-treatments/camarillo-ca/,keep
https://www.805shutters.com/shutters/fillmore/,200,,https://www.805shutters.com/shutters/fillmore/,keep
https://www.805shutters.com/shades/fillmore-ca/,200,,https://www.805shutters.com/shades/fillmore-ca/,keep
https://www.805shutters.com/blinds/fillmore-ca/,200,,https://www.805shutters.com/blinds/fillmore-ca/,keep
https://www.805shutters.com/drapery/fillmore-ca/,200,,https://www.805shutters.com/drapery/fillmore-ca/,keep
https://www.805shutters.com/window-coverings/fillmore-ca/,200,,https://www.805shutters.com/window-coverings/fillmore-ca/,keep
https://www.805shutters.com/window-treatments/fillmore-ca/,200,,https://www.805shutters.com/window-treatments/fillmore-ca/,keep
https://www.805shutters.com/shutters/moorpark/,200,,https://www.805shutters.com/shutters/moorpark/,keep
https://www.805shutters.com/shades/moorpark-ca/,200,,https://www.805shutters.com/shades/moorpark-ca/,keep
https://www.805shutters.com/blinds/moorpark-ca/,200,,https://www.805shutters.com/blinds/moorpark-ca/,keep
https://www.805shutters.com/drapery/moorpark-ca/,200,,https://www.805shutters.com/drapery/moorpark-ca/,keep
https://www.805shutters.com/window-coverings/moorpark-ca/,200,,https://www.805shutters.com/window-coverings/moorpark-ca/,keep
https://www.805shutters.com/window-treatments/moorpark-ca/,200,,https://www.805shutters.com/window-treatments/moorpark-ca/,keep
https://www.805shutters.com/shutters/newbury-park/,200,,https://www.805shutters.com/shutters/newbury-park/,keep
https://www.805shutters.com/shades/newbury-park-ca/,200,,https://www.805shutters.com/shades/newbury-park-ca/,keep
https://www.805shutters.com/blinds/newbury-park-ca/,200,,https://www.805shutters.com/blinds/newbury-park-ca/,keep
https://www.805shutters.com/drapery/newbury-park-ca/,200,,https://www.805shutters.com/drapery/newbury-park-ca/,keep
https://www.805shutters.com/window-coverings/newbury-park-ca/,200,,https://www.805shutters.com/window-coverings/newbury-park-ca/,keep
https://www.805shutters.com/window-treatments/newbury-park-ca/,200,,https://www.805shutters.com/window-treatments/newbury-park-ca/,keep
https://www.805shutters.com/shutters/oak-park/,200,,https://www.805shutters.com/shutters/oak-park/,keep
https://www.805shutters.com/shades/oak-park-ca/,200,,https://www.805shutters.com/shades/oak-park-ca/,keep
https://www.805shutters.com/blinds/oak-park-ca/,200,,https://www.805shutters.com/blinds/oak-park-ca/,keep
https://www.805shutters.com/drapery/oak-park-ca/,200,,https://www.805shutters.com/drapery/oak-park-ca/,keep
https://www.805shutters.com/window-coverings/oak-park-ca/,200,,https://www.805shutters.com/window-coverings/oak-park-ca/,keep
https://www.805shutters.com/window-treatments/oak-park-ca/,200,,https://www.805shutters.com/window-treatments/oak-park-ca/,keep
https://www.805shutters.com/shutters/ojai/,200,,https://www.805shutters.com/shutters/ojai/,keep
https://www.805shutters.com/shades/ojai-ca/,200,,https://www.805shutters.com/shades/ojai-ca/,keep
https://www.805shutters.com/blinds/ojai-ca/,200,,https://www.805shutters.com/blinds/ojai-ca/,keep
https://www.805shutters.com/drapery/ojai-ca/,200,,https://www.805shutters.com/drapery/ojai-ca/,keep
https://www.805shutters.com/window-coverings/ojai-ca/,200,,https://www.805shutters.com/window-coverings/ojai-ca/,keep
https://www.805shutters.com/window-treatments/ojai-ca/,200,,https://www.805shutters.com/window-treatments/ojai-ca/,keep
https://www.805shutters.com/shutters/oxnard/,200,,https://www.805shutters.com/shutters/oxnard/,keep
https://www.805shutters.com/shades/oxnard-ca/,200,,https://www.805shutters.com/shades/oxnard-ca/,keep
https://www.805shutters.com/blinds/oxnard-ca/,200,,https://www.805shutters.com/blinds/oxnard-ca/,keep
https://www.805shutters.com/drapery/oxnard-ca/,200,,https://www.805shutters.com/drapery/oxnard-ca/,keep
https://www.805shutters.com/window-coverings/oxnard-ca/,200,,https://www.805shutters.com/window-coverings/oxnard-ca/,keep
https://www.805shutters.com/window-treatments/oxnard-ca/,200,,https://www.805shutters.com/window-treatments/oxnard-ca/,keep
https://www.805shutters.com/shutters/port-hueneme/,200,,https://www.805shutters.com/shutters/port-hueneme/,keep
https://www.805shutters.com/shades/port-hueneme-ca/,200,,https://www.805shutters.com/shades/port-hueneme-ca/,keep
https://www.805shutters.com/blinds/port-hueneme-ca/,200,,https://www.805shutters.com/blinds/port-hueneme-ca/,keep
https://www.805shutters.com/drapery/port-hueneme-ca/,200,,https://www.805shutters.com/drapery/port-hueneme-ca/,keep
https://www.805shutters.com/window-coverings/port-hueneme-ca/,200,,https://www.805shutters.com/window-coverings/port-hueneme-ca/,keep
https://www.805shutters.com/window-treatments/port-hueneme-ca/,200,,https://www.805shutters.com/window-treatments/port-hueneme-ca/,keep
https://www.805shutters.com/shutters/santa-paula/,200,,https://www.805shutters.com/shutters/santa-paula/,keep
https://www.805shutters.com/shades/santa-paula-ca/,200,,https://www.805shutters.com/shades/santa-paula-ca/,keep
https://www.805shutters.com/blinds/santa-paula-ca/,200,,https://www.805shutters.com/blinds/santa-paula-ca/,keep
https://www.805shutters.com/drapery/santa-paula-ca/,200,,https://www.805shutters.com/drapery/santa-paula-ca/,keep
https://www.805shutters.com/window-coverings/santa-paula-ca/,200,,https://www.805shutters.com/window-coverings/santa-paula-ca/,keep
https://www.805shutters.com/window-treatments/santa-paula-ca/,200,,https://www.805shutters.com/window-treatments/santa-paula-ca/,keep
https://www.805shutters.com/shutters/santa-clarita/,200,,https://www.805shutters.com/shutters/santa-clarita/,keep
https://www.805shutters.com/shades/santa-clarita-ca/,200,,https://www.805shutters.com/shades/santa-clarita-ca/,keep
https://www.805shutters.com/blinds/santa-clarita-ca/,200,,https://www.805shutters.com/blinds/santa-clarita-ca/,keep
https://www.805shutters.com/drapery/santa-clarita-ca/,200,,https://www.805shutters.com/drapery/santa-clarita-ca/,keep
https://www.805shutters.com/window-coverings/santa-clarita-ca/,200,,https://www.805shutters.com/window-coverings/santa-clarita-ca/,keep
https://www.805shutters.com/window-treatments/santa-clarita-ca/,200,,https://www.805shutters.com/window-treatments/santa-clarita-ca/,keep
https://www.805shutters.com/shutters/santa-rosa-valley/,200,,https://www.805shutters.com/shutters/santa-rosa-valley/,keep
https://www.805shutters.com/shades/santa-rosa-valley-ca/,200,,https://www.805shutters.com/shades/santa-rosa-valley-ca/,keep
https://www.805shutters.com/blinds/santa-rosa-valley-ca/,200,,https://www.805shutters.com/blinds/santa-rosa-valley-ca/,keep
https://www.805shutters.com/drapery/santa-rosa-valley-ca/,200,,https://www.805shutters.com/drapery/santa-rosa-valley-ca/,keep
https://www.805shutters.com/window-coverings/santa-rosa-valley-ca/,200,,https://www.805shutters.com/window-coverings/santa-rosa-valley-ca/,keep
https://www.805shutters.com/window-treatments/santa-rosa-valley-ca/,200,,https://www.805shutters.com/window-treatments/santa-rosa-valley-ca/,keep
https://www.805shutters.com/shutters/simi-valley/,200,,https://www.805shutters.com/shutters/simi-valley/,keep
https://www.805shutters.com/shades/simi-valley-ca/,200,,https://www.805shutters.com/shades/simi-valley-ca/,keep
https://www.805shutters.com/blinds/simi-valley-ca/,200,,https://www.805shutters.com/blinds/simi-valley-ca/,keep
https://www.805shutters.com/drapery/simi-valley-ca/,200,,https://www.805shutters.com/drapery/simi-valley-ca/,keep
https://www.805shutters.com/window-coverings/simi-valley-ca/,200,,https://www.805shutters.com/window-coverings/simi-valley-ca/,keep
https://www.805shutters.com/window-treatments/simi-valley-ca/,200,,https://www.805shutters.com/window-treatments/simi-valley-ca/,keep
https://www.805shutters.com/shutters/thousand-oaks/,200,,https://www.805shutters.com/shutters/thousand-oaks/,keep
https://www.805shutters.com/shades/thousand-oaks-ca/,200,,https://www.805shutters.com/shades/thousand-oaks-ca/,keep
https://www.805shutters.com/blinds/thousand-oaks-ca/,200,,https://www.805shutters.com/blinds/thousand-oaks-ca/,keep
https://www.805shutters.com/drapery/thousand-oaks-ca/,200,,https://www.805shutters.com/drapery/thousand-oaks-ca/,keep
https://www.805shutters.com/window-coverings/thousand-oaks-ca/,200,,https://www.805shutters.com/window-coverings/thousand-oaks-ca/,keep
https://www.805shutters.com/window-treatments/thousand-oaks-ca/,200,,https://www.805shutters.com/window-treatments/thousand-oaks-ca/,keep
https://www.805shutters.com/shutters/ventura/,200,,https://www.805shutters.com/shutters/ventura/,keep
https://www.805shutters.com/shades/ventura-ca/,200,,https://www.805shutters.com/shades/ventura-ca/,keep
https://www.805shutters.com/blinds/ventura-ca/,200,,https://www.805shutters.com/blinds/ventura-ca/,keep
https://www.805shutters.com/drapery/ventura-ca/,200,,https://www.805shutters.com/drapery/ventura-ca/,keep
https://www.805shutters.com/window-coverings/ventura-ca/,200,,https://www.805shutters.com/window-coverings/ventura-ca/,keep
https://www.805shutters.com/window-treatments/ventura-ca/,200,,https://www.805shutters.com/window-treatments/ventura-ca/,keep
https://www.805shutters.com/shutters/westlake-village/,200,,https://www.805shutters.com/shutters/westlake-village/,keep
https://www.805shutters.com/shades/westlake-village-ca/,200,,https://www.805shutters.com/shades/westlake-village-ca/,keep
https://www.805shutters.com/blinds/westlake-village-ca/,200,,https://www.805shutters.com/blinds/westlake-village-ca/,keep
https://www.805shutters.com/drapery/westlake-village-ca/,200,,https://www.805shutters.com/drapery/westlake-village-ca/,keep
https://www.805shutters.com/window-coverings/westlake-village-ca/,200,,https://www.805shutters.com/window-coverings/westlake-village-ca/,keep
https://www.805shutters.com/window-treatments/westlake-village-ca/,200,,https://www.805shutters.com/window-treatments/westlake-village-ca/,keep
https://www.805shutters.com/commercial-window-coverings/camarillo-ca/,200,,https://www.805shutters.com/commercial-window-coverings/camarillo-ca/,keep
