source_page,href,first_status,first_location,decision
https://www.805shutters.com/shades/fillmore-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/shades/fillmore-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/shades/fillmore-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/blinds/fillmore-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/blinds/fillmore-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/blinds/fillmore-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/drapery/fillmore-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/drapery/fillmore-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/drapery/fillmore-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/window-coverings/fillmore-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/window-coverings/fillmore-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/window-coverings/fillmore-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/window-treatments/fillmore-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/window-treatments/fillmore-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/window-treatments/fillmore-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/shutters/moorpark/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/shutters/moorpark/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/shutters/moorpark/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/shades/moorpark-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/shades/moorpark-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/shades/moorpark-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/blinds/moorpark-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/blinds/moorpark-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/blinds/moorpark-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/drapery/moorpark-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/drapery/moorpark-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/drapery/moorpark-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/window-coverings/moorpark-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/window-coverings/moorpark-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/window-coverings/moorpark-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/window-treatments/moorpark-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/window-treatments/moorpark-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/window-treatments/moorpark-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/shutters/newbury-park/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/shutters/newbury-park/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/shutters/newbury-park/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/shades/newbury-park-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/shades/newbury-park-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/shades/newbury-park-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/blinds/newbury-park-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/blinds/newbury-park-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/blinds/newbury-park-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/drapery/newbury-park-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/drapery/newbury-park-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/drapery/newbury-park-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/window-coverings/newbury-park-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/window-coverings/newbury-park-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/window-coverings/newbury-park-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/window-treatments/newbury-park-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/window-treatments/newbury-park-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/window-treatments/newbury-park-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/shutters/oak-park/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/shutters/oak-park/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/shutters/oak-park/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/shades/oak-park-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/shades/oak-park-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/shades/oak-park-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/blinds/oak-park-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/blinds/oak-park-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/blinds/oak-park-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/drapery/oak-park-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/drapery/oak-park-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/drapery/oak-park-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/window-coverings/oak-park-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/window-coverings/oak-park-ca/,/financing/,200,,already direct; unchanged
https://www.805shutters.com/window-coverings/oak-park-ca/,/financing/,200,,already direct; unchanged
